 name:     NiO                                                    Feff 8.50L
 formula:  NiO
 sites:    Ni1,O1
 refer1:   wyckoff 1,III,88
 refer2:
 schoen:
 notes1:   salt, halite
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
 Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
 Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
 Gam_ch=1.576E+00 H-L exch
 Mu=-3.100E+00 kf=2.249E+00 Vint=-2.236E+01 Rs_int= 1.613
 PATH  Rmax= 5.900,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   21      icalc       2
 -----------------------------------------------------------------------
   3  48.000   5.0317    2.3477   -3.09981 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -0.0000    4.1684   -0.0000  1  28 Ni    
    -2.0842    2.0842   -0.0000  1  28 Ni    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.1804E+00  4.3841E-07 -3.9187E+00  1.006E+00  2.1749E+01  2.2490E+00
  0.100  3.1802E+00  2.0201E-03 -4.9041E+00  1.006E+00  2.1769E+01  2.2511E+00
  0.200  3.1794E+00  4.0115E-03 -5.8482E+00  1.006E+00  2.1829E+01  2.2575E+00
  0.300  3.1781E+00  5.9469E-03 -6.7513E+00  1.006E+00  2.1923E+01  2.2681E+00
  0.400  3.1763E+00  7.8027E-03 -7.6140E+00  1.006E+00  2.2043E+01  2.2828E+00
  0.500  3.1738E+00  9.5595E-03 -8.4371E+00  1.006E+00  2.2179E+01  2.3016E+00
  0.600  3.1707E+00  1.1203E-02 -9.2216E+00  1.007E+00  2.2316E+01  2.3243E+00
  0.700  3.1668E+00  1.2722E-02 -9.9686E+00  1.007E+00  2.2438E+01  2.3510E+00
  0.800  3.1621E+00  1.4112E-02 -1.0679E+01  1.007E+00  2.2529E+01  2.3814E+00
  0.900  3.1564E+00  1.5367E-02 -1.1355E+01  1.008E+00  2.2571E+01  2.4155E+00
  1.000  3.1497E+00  1.6487E-02 -1.1998E+01  1.009E+00  2.2548E+01  2.4532E+00
  1.100  3.1418E+00  1.7469E-02 -1.2608E+01  1.010E+00  2.2447E+01  2.4943E+00
  1.200  3.1325E+00  1.8311E-02 -1.3188E+01  1.011E+00  2.2256E+01  2.5387E+00
  1.300  3.1218E+00  1.9008E-02 -1.3738E+01  1.012E+00  2.1972E+01  2.5863E+00
  1.400  3.1094E+00  1.9554E-02 -1.4260E+01  1.013E+00  2.1595E+01  2.6371E+00
  1.500  3.0952E+00  1.9938E-02 -1.4755E+01  1.015E+00  2.1133E+01  2.6909E+00
  1.600  3.0789E+00  2.0147E-02 -1.5226E+01  1.017E+00  2.0596E+01  2.7477E+00
  1.700  3.0603E+00  2.0162E-02 -1.5672E+01  1.020E+00  2.0002E+01  2.8076E+00
  1.800  3.0392E+00  1.9962E-02 -1.6097E+01  1.023E+00  1.9369E+01  2.8703E+00
  1.900  3.0151E+00  1.9519E-02 -1.6502E+01  1.027E+00  1.8718E+01  2.9360E+00
  2.000  2.9879E+00  1.8807E-02 -1.6891E+01  1.031E+00  1.8070E+01  3.0046E+00
  2.200  2.9223E+00  1.6491E-02 -1.7641E+01  1.039E+00  1.6863E+01  3.1507E+00
  2.400  2.8453E+00  1.2507E-02 -1.8444E+01  1.049E+00  1.5900E+01  3.3093E+00
  2.600  2.7102E+00  1.4868E-02 -1.9526E+01  1.027E+00  1.5306E+01  3.4925E+00
  2.800  2.5883E+00  2.2769E-02 -2.0109E+01  1.153E+00  8.4010E+00  3.6662E+00
  3.000  2.5613E+00  2.8542E-02 -2.1005E+01  1.205E+00  6.9344E+00  3.8013E+00
  3.200  2.5322E+00  3.6334E-02 -2.1866E+01  1.229E+00  6.2807E+00  3.9372E+00
  3.400  2.4809E+00  4.6437E-02 -2.2603E+01  1.240E+00  5.9562E+00  4.0822E+00
  3.600  2.4199E+00  5.8079E-02 -2.3236E+01  1.239E+00  5.8057E+00  4.2326E+00
  3.800  2.3503E+00  6.9603E-02 -2.3783E+01  1.232E+00  5.7590E+00  4.3879E+00
  4.000  2.2748E+00  8.0472E-02 -2.4263E+01  1.224E+00  5.7808E+00  4.5475E+00
  4.200  2.1956E+00  8.8796E-02 -2.4688E+01  1.209E+00  5.8515E+00  4.7110E+00
  4.400  2.1126E+00  9.4735E-02 -2.5071E+01  1.195E+00  5.9590E+00  4.8780E+00
  4.600  2.0279E+00  9.8173E-02 -2.5423E+01  1.181E+00  6.0956E+00  5.0482E+00
  4.800  1.9428E+00  9.8498E-02 -2.5742E+01  1.167E+00  6.2559E+00  5.2211E+00
  5.000  1.8571E+00  9.6829E-02 -2.6040E+01  1.153E+00  6.4360E+00  5.3966E+00
  5.200  1.7717E+00  9.3334E-02 -2.6318E+01  1.139E+00  6.6333E+00  5.5742E+00
  5.400  1.6865E+00  8.8285E-02 -2.6577E+01  1.127E+00  6.8457E+00  5.7538E+00
  5.600  1.6014E+00  8.2152E-02 -2.6821E+01  1.114E+00  7.0714E+00  5.9352E+00
  5.800  1.5167E+00  7.5199E-02 -2.7054E+01  1.101E+00  7.3091E+00  6.1181E+00
  6.000  1.4319E+00  6.7965E-02 -2.7275E+01  1.091E+00  7.5579E+00  6.3025E+00
  6.500  1.2207E+00  4.9619E-02 -2.7807E+01  1.065E+00  8.2231E+00  6.7686E+00
  7.000  1.0116E+00  3.4212E-02 -2.8333E+01  1.045E+00  8.9424E+00  7.2408E+00
  7.500  8.0799E-01  2.3412E-02 -2.8878E+01  1.029E+00  9.7093E+00  7.7176E+00
  8.000  6.1228E-01  1.7214E-02 -2.9451E+01  1.017E+00  1.0519E+01  8.1982E+00
  8.500  4.2804E-01  1.4240E-02 -2.9971E+01  1.005E+00  1.1369E+01  8.6816E+00
